"","name","address","tot_enrol","latitude","longitude"
"1","Blue Ridge Community College","1 College Lane, Weyers Cave, Virginia 24486-0080",0,38.2781364,-78.9390334
"2","Paul D Camp Community College","100 N College Dr, Franklin, Virginia 23851",0,36.6744791,-76.9375687
"3","Danville Community College","1008 S Main St, Danville, Virginia 24541-4004",4,36.5644841,-79.4091964
"4","Tidewater Community College","121 College Place, Norfolk, Virginia 23510",210,36.850098,-76.2913302
"5","John Tyler Community College","13101 Jefferson Davis Hwy, Chester, Virginia 23831-5316",60,37.3466091,-77.4077974
"6","J Sargeant Reynolds Community College","1651 East Parham Road, Richmond, Virginia 23228-2327",80,37.6340816,-77.4758617
"7","Germanna Community College","2130 Germanna Hwy, Locust Grove, Virginia 22508-2102",64,38.3752082,-77.7798052
"8","Virginia Western Community College","3094 Colonial Ave, Roanoke, Virginia 24015",88,37.246308,-79.9737355
"9","Mountain Empire Community College","3441 Mountain Empire Road, Big Stone Gap, Virginia 24219",8,36.853859,-82.75966
"10","Central Virginia Community College","3506 Wards Rd, Lynchburg, Virginia 24502-2498",18,37.3593436,-79.183912
"11","Southwest Virginia Community College","369 College Road US Rt. 19, 6 Miles S. Claypool Hill, Cedar Bluff, Virginia 24609",2,29.031004,-82.6697361
"12","Northern Virginia Community College","4001 Wakefield Chapel Rd, Annandale, Virginia 22003-3796",376,38.8363305,-77.2380855
"13","Piedmont Virginia Community College","501 College Drive, Charlottesville, Virginia 22902-7589",20,38.0069995,-78.4844292
"14","Patrick Henry Community College","645 Patriot Avenue, Martinsville, Virginia 24112",0,36.7397709,-79.8748169
"15","Thomas Nelson Community College","99 Thomas Nelson Drive, Hampton, Virginia 23666",50,37.0634225,-76.4186005
